unique_id,indicator_id,name,measure,measure_info,geotype_name,geo_join_id,geo_place_name,time_period,start_date,value,borough_code
333939,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,1,Bronx,Winter 2014-15,2014-12-01,10.21,False
547354,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,1,Bronx,Annual Average 2017,2017-01-01,7.72,False
605650,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,1,Bronx,Winter 2017-18,2017-12-01,8.28,False
179503,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,1,Bronx,Winter 2010-11,2010-12-01,13.85,False
179643,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,1,Bronx,Annual Average 2009,2008-12-01,11.05,False
179648,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,1,Bronx,Annual Average 2010,2009-12-01,10.14,False
179568,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,1,Bronx,Summer 2009,2009-06-01,10.73,False
179653,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,1,Bronx,Annual Average 2011,2010-12-01,10.82,False
211405,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,1,Bronx,Winter 2013-14,2013-12-01,12.5,False
333937,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,1,Bronx,Annual Average 2015,2015-01-01,9.24,False
410720,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,1,Bronx,Winter 2015-16,2015-12-01,8.4,False
410722,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,1,Bronx,Annual Average 2016,2015-12-31,7.75,False
605888,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,105106107,South Bronx,Annual Average 2018,2018-01-01,7.7,False
605889,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,105106107,South Bronx,Summer 2018,2018-06-01,9.08,False
211435,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,1,Bronx,Annual Average 2014,2013-12-01,9.27,False
179498,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,1,Bronx,Winter 2009-10,2009-12-01,10.95,False
179508,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,1,Bronx,Winter 2011-12,2011-12-01,9.93,False
179513,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,1,Bronx,Winter 2012-13,2012-12-01,11.16,False
