id,month_name,month,grade,enddate,pollster,samplesize,approve,influence,disapprove
0,January,1,B,2021-01-21,Morning Consult,15000,50,0,28
1,January,1,B,2021-01-21,Rasmussen Reports/Pulse Opinion Research,1500,48,0,45
2,January,1,B+,2021-01-21,YouGov,1516,45,0,28
3,January,1,B,2021-01-22,Morning Consult,15000,51,0,28
4,January,1,B,2021-01-21,Morning Consult,1993,56,0,31
5,January,1,B-,2021-01-21,Ipsos,1115,55.47,0,31.59
6,January,1,B+,2021-01-22,HarrisX,941,63,0,37
7,January,1,B-,2021-01-23,RMG Research,1200,58,0,32
8,January,1,B,2021-01-23,Morning Consult,15000,52,0,29
9,January,1,B,2021-01-24,Rasmussen Reports/Pulse Opinion Research,1500,48,0,47
10,January,1,B,2021-01-24,Morning Consult,15000,53,0,29
11,January,1,B,2021-01-25,Rasmussen Reports/Pulse Opinion Research,1500,48,0,47
12,January,1,B/C,2021-01-26,Echelon Insights,1006,55,0,33
13,January,1,A,2021-01-24,Monmouth University,809,54,0,30
14,January,1,B,2021-01-25,Morning Consult,2200,56,0,32
15,January,1,B,2021-01-25,Morning Consult,1990,59,0,32
16,January,1,B,2021-01-25,Data for Progress,1164,57,0,36
17,January,1,B,2021-01-25,Morning Consult,15000,53,0,30
18,January,1,B+,2021-01-26,YouGov,1500,51,0,33
19,January,1,B,2021-01-26,Morning Consult,15000,53,0,30
20,January,1,B,2021-01-26,Rasmussen Reports/Pulse Opinion Research,1500,48,0,48
21,January,1,B,2021-01-27,Rasmussen Reports/Pulse Opinion Research,1500,49,0,48
22,January,1,A,2021-01-27,Marist College,1313,49,0,35
23,January,1,B,2021-01-26,Morning Consult,2200,58,0,32
24,January,1,B,2021-01-27,Morning Consult,15000,54,0,31
25,February,2,B+,2021-02-02,Gallup,906,57,0,37
26,January,1,B,2021-01-28,Morning Consult,9211.5,55,0,31.5
27,January,1,B,2021-01-28,Rasmussen Reports/Pulse Opinion Research,1500,50,0,45
28,January,1,B,2021-01-28,Morning Consult,2200,56,0,33
29,January,1,B,2021-01-29,Morning Consult,15000,54,0,32
30,January,1,A+,2021-01-29,TIPP Insights,1261,53,0,29
31,January,1,B,2021-01-30,Morning Consult,6466.666667,55.333333,0,33
