,month,month_name,count,mean,std,min,25%,50%,75%,max,SEM,ci_90,ci_95,std_1_pos,std_1_neg,std_2_pos,std_2_neg,std_3_pos,std_3_neg,count_std_1_pos,count_std_2_pos,count_std_3_pos,count_std_1_neg,count_std_2_neg,count_std_3_neg
0,1,January,79.0,53.55451475949368,3.9516618427496035,45.0,50.0,54.0,56.0,63.0,0.4445966927828615,0.7313615596278072,0.8714095178544086,57.50617660224328,49.60285291674408,61.45783844499289,45.65119107399447,65.40950028774249,41.69952923124487,30,11,2,20,14,2
1,2,February,195.0,53.9485812,3.500612999812163,46.0,51.0,54.0,56.0,62.0,0.25068410374212885,0.41237535065580194,0.49134084333457256,57.44919419981216,50.44796820018784,60.949807199624324,46.947355200375675,64.4504201994365,43.446742200563506,89,25,8,31,40,2
2,3,March,225.0,54.09173333333333,3.643756538832653,47.0,51.0,54.0,56.0,62.0,0.24291710258884353,0.3995986337586476,0.4761175210741333,57.735489872165985,50.447976794500676,61.37924641099863,46.80422025566803,65.0230029498313,43.16046371683537,68,35,4,70,48,0
3,4,April,229.0,53.68034934497816,3.4072533389842476,47.0,51.0,54.0,55.0,61.0,0.22515763828635021,0.3703843149810461,0.4413089710412464,57.08760268396241,50.273096005993914,60.49485602294666,46.865842667009666,63.902109361930904,43.45858932802542,106,26,6,42,49,0
4,5,May,215.0,53.82390697674418,2.970733977510951,48.0,52.0,54.0,55.955,63.0,0.20260237567350736,0.3332809079829196,0.3971006563200744,56.79464095425514,50.85317299923323,59.76537493176608,47.882439021722284,62.736108909277036,44.91170504421133,114,13,8,46,32,0
5,6,June,209.0,52.455406698564595,2.8094098326587256,47.9,50.0,53.0,54.0,61.0,0.19433094161776088,0.31967439896121663,0.3808886455708113,55.26481653122332,49.64599686590587,58.07422636388205,46.83658703324714,60.88363619654077,44.02717720058842,85,16,4,68,32,0
6,7,July,192.0,51.488958333333336,2.9768082556531854,43.0,49.0,52.0,53.0,60.0,0.21483263096590838,0.3533996779389193,0.4210719566931804,54.46576658898652,48.512150077680154,57.44257484463971,45.535341822026965,60.41938310029289,42.55853356637378,99,5,12,48,26,2
7,8,August,244.0,49.21336065573771,3.090369911576899,40.0,47.0,49.0,51.0,56.0,0.19784066065840292,0.3254478867830728,0.3877676948904697,52.30373056731461,46.12299074416081,55.39410047889151,43.03262083258391,58.4844703904684,39.942250921007016,87,30,2,76,40,9
8,9,September,259.0,46.267258687258675,2.5255305326962922,39.0,45.0,46.0,47.515,55.0,0.1569288316130381,0.2581479280034477,0.30758050996155467,48.79278921995497,43.74172815456238,51.31831975265126,41.21619762186609,53.84385028534755,38.6906670891698,90,30,5,98,26,8
9,10,October,245.0,44.432326530612244,2.8197537779654867,37.0,43.0,45.0,46.0,53.0,0.18014746078121932,0.2963425729851058,0.35308902313118984,47.25208030857773,41.612572752646756,50.07183408654322,38.79281897468127,52.89158786450871,35.97306519671578,117,20,2,71,27,6
10,11,November,226.0,43.31495575221239,2.3916570262825663,36.0,42.0,44.0,44.0,49.0,0.15909065890054788,0.2617041338914013,0.3118176914450738,45.70661277849496,40.923298725929826,48.09826980477752,38.53164169964726,50.48992683106009,36.139984673364694,104,25,4,75,6,8
11,12,December,211.0,43.54875197156398,2.479371068992964,37.0,42.0,44.0,45.0,50.0,0.17068694352762437,0.28078002210294206,0.33454640931414376,46.02812304055694,41.06938090257102,48.50749410954991,38.59000983357805,50.98686517854287,36.11063876458509,85,19,8,50,47,2
